,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,Vianden,1,68,49.94,73.4,4.5
1,Municipio José Tadeo Monagas,24,89,9.86,75.85,2.48
2,Morbecque,0,56,50.69,73.4,2.24
3,Oroso,40,100,42.98,64.4,6.93
4,Zeleznice,0,72,50.47,64.4,2.24
5,Búger,0,88,39.76,69.8,2.24
6,Velmede,0,60,51.58,73.4,3.36
7,Torma vald,0,82,58.86,62.6,1.12
8,Couthures-sur-Garonne,0,82,44.52,69.8,6.93
9,Steinbach,0,46,50.03,73.4,2.24
10,California,1,22,37.25,105.8,13.87
11,Torrellas,0,64,41.9,75.2,11.41
12,San Floro,75,88,38.84,69.8,8.05
13,Geisig,0,46,50.25,73.4,2.24
14,Toboso (El),0,37,39.55,66.58,6.06
15,Castel de Cabra,0,94,40.8,71.6,4.7
16,Baragua,56,88,21.7,83.5,5.39
17,Nule,0,64,40.46,75.2,10.29
18,Troy,90,88,44.66,75.2,10.29
19,La Puebla,1,26,35.99,84.2,5.82
20,Wollershausen,0,79,51.6,64.96,2.71
21,Provincia de Bioko Norte,75,88,3.67,77.0,8.05
22,Villafranca de los Barros,0,73,38.59,63.88,4.94
23,Vergara,92,81,-32.93,48.31,10.2
24,Emmen,20,73,47.08,69.8,3.36
25,Boskoop,36,68,52.08,73.4,2.24
26,Krapivnya,56,88,55.04,62.6,6.71
27,Sandridge,1,39,42.56,86.0,11.41
28,Sainte-Menehould,36,60,49.08,75.2,2.24
29,Castelnuovo Nigra,75,60,45.44,75.2,5.82
30,Arayat,75,94,15.18,77.0,4.7
31,Chessy,0,64,45.89,73.4,2.24
32,Łęczna,80,82,51.3,68.92,5.39
33,Giaveno,75,60,45.05,75.2,5.82
34,Dornberg,0,68,50.33,73.4,2.24
35,Hacienda Carmel,1,60,36.54,87.8,6.93
36,Chienes,0,81,46.8,60.8,3.36
37,Saint Rose,40,52,29.95,91.4,8.05
38,Loamnes,75,100,45.93,66.2,8.05
39,Niehl,1,68,49.95,73.4,3.71
40,Eschelbronn,32,64,49.32,72.16,3.15
41,Gibson,0,86,-33.65,48.58,12.44
42,Konongwootong,68,91,-37.53,49.39,7.29
43,Perieti,0,88,44.4,68.0,9.17
44,Caltavuturo,0,100,37.82,59.83,2.26
45,Biosca,12,76,41.84,62.53,2.93
46,Merton,0,60,51.41,73.4,6.93
47,Geiersthal,0,82,49.05,58.3,2.15
48,Zistersdorf,0,64,48.54,69.8,8.05
49,Long Jetty,0,77,-33.37,59.56,4.16
50,Krajan Tengah,56,100,-8.3,66.4,2.04
51,Kazimierz Dolny,36,76,51.31,68.83,5.39
52,Marshfield,1,83,42.09,82.4,8.05
53,Gaildorf,0,77,49.0,68.0,3.36
54,Los Quirquinchos,36,64,-33.38,40.3,8.63
55,Cananea,36,28,30.95,90.7,3.27
56,Jatiel,0,59,41.24,71.53,2.48
57,Raub,32,94,3.79,71.62,2.93
58,Rödigen,0,53,50.98,73.4,4.7
59,Smithfield,90,94,36.98,77.0,9.17
60,Weissenhorn,0,93,48.3,62.6,2.24
61,Khulna Division,88,94,22.92,79.36,4.61
62,Sueca,20,83,39.23,78.8,6.93
63,Klein Ziethen,0,77,52.38,69.8,3.36
64,Belhar,40,100,-33.94,55.4,4.7
65,Newport,32,71,-37.84,53.6,13.87
66,Guting,40,70,25.03,89.6,1.12
67,Dünkirchen,36,88,53.42,71.6,6.93
68,Oktyabr’skiy,76,88,55.23,62.6,6.71
69,Haaltert,0,60,50.91,75.2,3.36
70,Pepperell,20,74,42.67,82.4,6.93
