,coord,country,id,name
109753,"{'lon': 3.77801, 'lat': 50.629372}",BE,2803010,Ath
76857,"{'lon': 12.45, 'lat': 53.849998}",DE,6547911,Warnkenhagen
134301,"{'lon': 13.38555, 'lat': 51.299931}",DE,2861671,Nunchritz
15831,"{'lon': -6.3870000000000005, 'lat': 54.44709}",GB,3345440,Craigavon
70128,"{'lon': 7.63333, 'lat': 49.849998}",DE,6553530,Rehbach
91970,"{'lon': -49.05389, 'lat': -23.134439}",BR,3471816,Arandu
119511,"{'lon': 10.83333, 'lat': 48.566669}",DE,2810531,Westendorf
142735,"{'lon': -6.52258, 'lat': 41.73896}",ES,6362646,Trabazos
198554,"{'lon': -79.971977, 'lat': 35.914581}",US,4452871,Archdale
183608,"{'lon': 121.346603, 'lat': 17.8486}",PH,1691592,Rizal
99870,"{'lon': 23.316669, 'lat': 42.150002}",BG,727627,Obshtina Rila
113098,"{'lon': 44.619598, 'lat': 31.743111}",IQ,99434,Nahiyat Ghammas
163628,"{'lon': -88.616669, 'lat': 15.06667}",HN,3611995,El Corozal
14023,"{'lon': 8.19547, 'lat': 47.482052}",CH,6697287,Altenburg (Brugg)
181487,"{'lon': 5.25, 'lat': 51.466671}",NL,2750903,Middelbeers
159837,"{'lon': -2.09701, 'lat': 53.71434}",GB,2635744,Todmorden
209158,"{'lon': 18.418329, 'lat': -34.031391}",ZA,3369056,Constantia
9325,"{'lon': 15.68279, 'lat': 47.158859}",AT,7873582,Unterfladnitz
36564,"{'lon': -120.237694, 'lat': 38.102421}",US,5356594,Hess Mill
97829,"{'lon': 22.69656, 'lat': 49.650162}",PL,7531309,Fredropol
158423,"{'lon': 1.77058, 'lat': 47.883259}",FR,3027598,Chaingy
190896,"{'lon': 24.73333, 'lat': 45.966671}",RO,673566,Merghindeal
142893,"{'lon': -2.29165, 'lat': 40.302811}",ES,6357537,Torralba
89515,"{'lon': -48.925831, 'lat': -23.09861}",BR,3471291,Avare
195530,"{'lon': 38.416672, 'lat': -11.36667}",TZ,878054,Masuguru
38388,"{'lon': 147.133331, 'lat': -41.387218}",AU,2205838,Mayfield
