,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.0,1.0,0.0,0.0,1
1,0.5859,0.808,0.0,0.192,2
2,0.0,1.0,0.0,0.0,3
3,0.0,1.0,0.0,0.0,4
4,0.0,1.0,0.0,0.0,5
5,0.765,0.734,0.0,0.266,6
6,0.636,0.811,0.0,0.189,7
7,0.0,1.0,0.0,0.0,8
8,0.7717,0.758,0.0,0.242,9
9,0.6236,0.797,0.0,0.203,10
10,-0.1779,0.914,0.086,0.0,11
11,0.0,1.0,0.0,0.0,12
12,0.1877,0.902,0.0,0.098,13
13,0.3612,0.699,0.096,0.205,14
14,0.4215,0.808,0.0,0.192,15
15,-0.7181,0.539,0.461,0.0,16
16,0.0,1.0,0.0,0.0,17
17,-0.4023,0.886,0.114,0.0,18
18,0.0,1.0,0.0,0.0,19
19,0.0,1.0,0.0,0.0,20
20,-0.8074,0.7,0.3,0.0,21
21,0.2572,0.775,0.0,0.225,22
22,0.0,1.0,0.0,0.0,23
23,0.0,1.0,0.0,0.0,24
24,0.4767,0.871,0.0,0.129,25
25,0.5562,0.796,0.0,0.204,26
26,0.0,1.0,0.0,0.0,27
27,0.1759,0.546,0.206,0.248,28
28,0.0,1.0,0.0,0.0,29
29,0.0,1.0,0.0,0.0,30
30,0.4215,0.891,0.0,0.109,31
31,0.6239,0.854,0.0,0.146,32
32,0.6705,0.591,0.094,0.315,33
33,0.2263,0.741,0.106,0.153,34
34,0.0,1.0,0.0,0.0,35
35,0.6369,0.833,0.0,0.167,36
36,0.5994,0.841,0.0,0.159,37
37,-0.3818,0.781,0.141,0.078,38
38,-0.2732,0.609,0.249,0.142,39
39,0.0,1.0,0.0,0.0,40
40,0.0,1.0,0.0,0.0,41
41,0.0,1.0,0.0,0.0,42
42,0.6908,0.712,0.064,0.224,43
43,-0.9052,0.437,0.457,0.106,44
44,0.4939,0.758,0.0,0.242,45
45,0.3612,0.865,0.0,0.135,46
46,0.6361,0.827,0.0,0.173,47
47,-0.4019,0.787,0.213,0.0,48
48,0.0,1.0,0.0,0.0,49
49,0.4404,0.467,0.178,0.355,50
50,-0.0191,0.924,0.076,0.0,51
51,0.3182,0.777,0.0,0.223,52
52,0.5719,0.85,0.0,0.15,53
53,0.5859,0.868,0.0,0.132,54
54,-0.8658,0.573,0.427,0.0,55
55,0.5106,0.68,0.0,0.32,56
56,0.0,1.0,0.0,0.0,57
57,0.0,1.0,0.0,0.0,58
58,0.0,1.0,0.0,0.0,59
59,0.7157,0.647,0.082,0.271,60
60,0.4389,0.862,0.0,0.138,61
61,0.4019,0.787,0.0,0.213,62
62,0.6369,0.802,0.0,0.198,63
63,0.0,1.0,0.0,0.0,64
64,0.4939,0.686,0.0,0.314,65
65,0.6908,0.739,0.0,0.261,66
66,0.4404,0.828,0.0,0.172,67
67,0.0,1.0,0.0,0.0,68
68,0.6486,0.765,0.0,0.235,69
69,0.34,0.789,0.0,0.211,70
70,0.0,1.0,0.0,0.0,71
71,0.5719,0.664,0.091,0.245,72
72,-0.2023,0.795,0.125,0.08,73
73,0.674,0.841,0.0,0.159,74
74,0.3802,0.822,0.0,0.178,75
75,0.5267,0.794,0.0,0.206,76
76,0.0,1.0,0.0,0.0,77
77,0.0,1.0,0.0,0.0,78
78,0.6705,0.591,0.094,0.315,79
79,-0.34,0.702,0.18,0.118,80
80,-0.6249,0.779,0.221,0.0,81
81,-0.4588,0.693,0.208,0.099,82
82,-0.046,0.746,0.131,0.123,83
83,-0.5106,0.858,0.142,0.0,84
84,-0.296,0.909,0.091,0.0,85
85,0.2263,0.741,0.106,0.153,86
86,0.0,1.0,0.0,0.0,87
87,-0.1779,0.826,0.101,0.072,88
88,-0.4614,0.764,0.236,0.0,89
89,-0.4019,0.788,0.148,0.064,90
90,-0.8176,0.762,0.238,0.0,91
91,-0.4019,0.828,0.172,0.0,92
92,-0.3818,0.732,0.167,0.102,93
93,-0.4019,0.748,0.252,0.0,94
94,0.4019,0.617,0.136,0.247,95
95,0.4404,0.725,0.092,0.184,96
96,0.0,1.0,0.0,0.0,97
97,0.0,1.0,0.0,0.0,98
98,0.0,1.0,0.0,0.0,99
99,-0.4767,0.758,0.159,0.083,100
