,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.9098,0.549,0.0,0.451,1
1,0.34,0.876,0.0,0.124,2
2,0.75,0.727,0.0,0.273,3
3,0.0,1.0,0.0,0.0,4
4,0.34,0.882,0.0,0.118,5
5,-0.1511,0.834,0.099,0.068,6
6,0.8293,0.66,0.0,0.34,7
7,0.128,0.927,0.0,0.073,8
8,-0.296,0.891,0.109,0.0,9
9,-0.296,0.891,0.109,0.0,10
10,-0.7964,0.736,0.264,0.0,11
11,-0.6597,0.82,0.18,0.0,12
12,0.3182,0.905,0.0,0.095,13
13,0.0,1.0,0.0,0.0,14
14,0.0,1.0,0.0,0.0,15
15,0.0,1.0,0.0,0.0,16
16,0.0,1.0,0.0,0.0,17
17,0.0,1.0,0.0,0.0,18
18,0.0,1.0,0.0,0.0,19
19,0.0,1.0,0.0,0.0,20
20,0.0,1.0,0.0,0.0,21
21,0.0,1.0,0.0,0.0,22
22,0.0,1.0,0.0,0.0,23
23,0.0,1.0,0.0,0.0,24
24,0.0,1.0,0.0,0.0,25
25,0.0,1.0,0.0,0.0,26
26,0.0,1.0,0.0,0.0,27
27,0.0,1.0,0.0,0.0,28
28,0.0,1.0,0.0,0.0,29
29,0.0,1.0,0.0,0.0,30
30,0.0,1.0,0.0,0.0,31
31,0.0,1.0,0.0,0.0,32
32,0.0,1.0,0.0,0.0,33
33,0.807,0.742,0.0,0.258,34
34,0.1139,0.922,0.0,0.078,35
35,-0.4404,0.868,0.132,0.0,36
36,0.0,1.0,0.0,0.0,37
37,0.6514,0.718,0.0,0.282,38
38,0.5562,0.826,0.0,0.174,39
39,0.5411,0.857,0.0,0.143,40
40,0.0,1.0,0.0,0.0,41
41,-0.3818,0.894,0.106,0.0,42
42,0.3182,0.897,0.0,0.103,43
43,0.4019,0.847,0.0,0.153,44
44,0.8622,0.61,0.0,0.39,45
45,0.3612,0.898,0.0,0.102,46
46,0.3182,0.892,0.0,0.108,47
47,0.0,1.0,0.0,0.0,48
48,0.0,1.0,0.0,0.0,49
49,0.5411,0.741,0.0,0.259,50
50,0.0,1.0,0.0,0.0,51
51,0.7574,0.711,0.0,0.289,52
52,0.5574,0.796,0.0,0.204,53
53,0.1867,0.902,0.0,0.098,54
54,0.4199,0.811,0.0,0.189,55
55,0.4926,0.803,0.0,0.197,56
56,0.3555,0.68,0.122,0.199,57
57,0.0,1.0,0.0,0.0,58
58,0.0,1.0,0.0,0.0,59
59,0.9392,0.507,0.0,0.493,60
60,0.3595,0.872,0.0,0.128,61
61,-0.296,0.833,0.167,0.0,62
62,0.1779,0.734,0.12,0.147,63
63,-0.5562,0.551,0.315,0.134,64
64,0.5093,0.829,0.0,0.171,65
65,-0.296,0.833,0.167,0.0,66
66,0.0,1.0,0.0,0.0,67
67,0.0,1.0,0.0,0.0,68
68,0.4767,0.78,0.0,0.22,69
69,0.8478,0.594,0.0,0.406,70
70,0.92,0.537,0.0,0.463,71
71,0.4404,0.737,0.088,0.175,72
72,0.4404,0.847,0.0,0.153,73
73,0.836,0.533,0.0,0.467,74
74,0.0,1.0,0.0,0.0,75
75,0.6369,0.682,0.0,0.318,76
76,0.7978,0.457,0.0,0.543,77
77,0.9523,0.484,0.0,0.516,78
78,0.5994,0.698,0.0,0.302,79
79,0.4215,0.877,0.0,0.123,80
80,0.8932,0.483,0.0,0.517,81
81,0.0,1.0,0.0,0.0,82
82,0.0,1.0,0.0,0.0,83
83,0.8908,0.509,0.0,0.491,84
84,0.0,1.0,0.0,0.0,85
85,0.4926,0.738,0.0,0.262,86
86,0.5093,0.477,0.0,0.523,87
87,0.7579,0.519,0.0,0.481,88
88,0.6467,0.752,0.0,0.248,89
89,0.0,1.0,0.0,0.0,90
90,0.636,0.724,0.0,0.276,91
91,0.8834,0.437,0.0,0.563,92
92,0.0,1.0,0.0,0.0,93
93,0.7351,0.625,0.079,0.296,94
94,0.0,1.0,0.0,0.0,95
95,0.0,1.0,0.0,0.0,96
96,0.4019,0.838,0.0,0.162,97
97,0.9151,0.543,0.0,0.457,98
98,0.6369,0.625,0.0,0.375,99
99,0.1511,0.898,0.0,0.102,100
