,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.0,1.0,0.0,0.0,1
1,0.0,1.0,0.0,0.0,2
2,0.0,1.0,0.0,0.0,3
3,0.2716,0.913,0.0,0.087,4
4,-0.3818,0.852,0.148,0.0,5
5,0.5267,0.764,0.0,0.236,6
6,0.6249,0.785,0.0,0.215,7
7,0.4019,0.886,0.0,0.114,8
8,0.0,1.0,0.0,0.0,9
9,0.4215,0.781,0.074,0.145,10
10,0.0,1.0,0.0,0.0,11
11,-0.3612,0.889,0.111,0.0,12
12,-0.6486,0.791,0.209,0.0,13
13,0.5574,0.783,0.0,0.217,14
14,0.5719,0.773,0.0,0.227,15
15,0.0,1.0,0.0,0.0,16
16,0.6037,0.709,0.0,0.291,17
17,0.0,1.0,0.0,0.0,18
18,0.4404,0.847,0.0,0.153,19
19,0.0,1.0,0.0,0.0,20
20,-0.6908,0.725,0.275,0.0,21
21,0.1779,0.855,0.0,0.145,22
22,-0.5574,0.765,0.235,0.0,23
23,0.0,1.0,0.0,0.0,24
24,0.5859,0.769,0.0,0.231,25
25,-0.5423,0.809,0.191,0.0,26
26,0.0,1.0,0.0,0.0,27
27,0.7351,0.708,0.0,0.292,28
28,-0.5423,0.851,0.149,0.0,29
29,0.4404,0.884,0.0,0.116,30
30,0.0,1.0,0.0,0.0,31
31,0.2716,0.664,0.119,0.218,32
32,-0.5574,0.78,0.17,0.05,33
33,-0.3291,0.865,0.135,0.0,34
34,-0.128,0.919,0.081,0.0,35
35,0.8225,0.709,0.0,0.291,36
36,-0.2755,0.9,0.1,0.0,37
37,0.25,0.864,0.0,0.136,38
38,0.0,1.0,0.0,0.0,39
39,0.0,1.0,0.0,0.0,40
40,-0.5106,0.829,0.171,0.0,41
41,0.0,1.0,0.0,0.0,42
42,0.5719,0.802,0.0,0.198,43
43,-0.34,0.645,0.226,0.129,44
44,0.3182,0.867,0.0,0.133,45
45,0.0,1.0,0.0,0.0,46
46,0.7096,0.753,0.0,0.247,47
47,0.7579,0.723,0.0,0.277,48
48,0.34,0.854,0.0,0.146,49
49,-0.5267,0.88,0.12,0.0,50
50,-0.0258,0.736,0.134,0.13,51
51,0.0,1.0,0.0,0.0,52
52,0.0,1.0,0.0,0.0,53
53,0.0,1.0,0.0,0.0,54
54,-0.128,0.87,0.13,0.0,55
55,-0.5106,0.798,0.202,0.0,56
56,0.0,1.0,0.0,0.0,57
57,-0.6774,0.646,0.354,0.0,58
58,0.2023,0.909,0.0,0.091,59
59,0.0,1.0,0.0,0.0,60
60,-0.5106,0.809,0.191,0.0,61
61,-0.7579,0.629,0.371,0.0,62
62,0.3612,0.695,0.112,0.193,63
63,0.0,1.0,0.0,0.0,64
64,0.0,1.0,0.0,0.0,65
65,-0.128,0.87,0.13,0.0,66
66,0.0,1.0,0.0,0.0,67
67,-0.4588,0.7,0.3,0.0,68
68,0.0,1.0,0.0,0.0,69
69,-0.1779,0.904,0.096,0.0,70
70,0.0,1.0,0.0,0.0,71
71,0.0,1.0,0.0,0.0,72
72,0.0,1.0,0.0,0.0,73
73,0.0,1.0,0.0,0.0,74
74,0.0,1.0,0.0,0.0,75
75,0.0,1.0,0.0,0.0,76
76,-0.7579,0.649,0.351,0.0,77
77,0.0,1.0,0.0,0.0,78
78,0.6369,0.606,0.0,0.394,79
79,0.0,1.0,0.0,0.0,80
80,0.0,1.0,0.0,0.0,81
81,0.0,1.0,0.0,0.0,82
82,-0.2263,0.813,0.115,0.072,83
83,-0.4588,0.7,0.3,0.0,84
84,0.4019,0.856,0.0,0.144,85
85,0.296,0.784,0.0,0.216,86
86,0.7184,0.739,0.0,0.261,87
87,0.0,1.0,0.0,0.0,88
88,0.0,1.0,0.0,0.0,89
89,0.0,1.0,0.0,0.0,90
90,0.34,0.821,0.0,0.179,91
91,-0.8225,0.511,0.489,0.0,92
92,-0.3612,0.647,0.214,0.139,93
93,-0.296,0.896,0.104,0.0,94
94,0.4939,0.775,0.0,0.225,95
95,0.0,1.0,0.0,0.0,96
96,0.6369,0.606,0.0,0.394,97
97,-0.7269,0.747,0.253,0.0,98
98,-0.8402,0.64,0.36,0.0,99
99,0.0,1.0,0.0,0.0,100
