,Compound,Negative,Neutral,Positive,Tweets Ago
0,-0.3612,0.865,0.135,0.0,1
1,0.2724,0.913,0.0,0.087,2
2,0.34,0.854,0.0,0.146,3
3,0.4215,0.823,0.0,0.177,4
4,0.2716,0.878,0.0,0.122,5
5,0.0,1.0,0.0,0.0,6
6,0.0,1.0,0.0,0.0,7
7,0.431,0.845,0.0,0.155,8
8,0.0,1.0,0.0,0.0,9
9,0.6705,0.744,0.0,0.256,10
10,0.4767,0.659,0.0,0.341,11
11,0.7351,0.617,0.0,0.383,12
12,0.3612,0.872,0.0,0.128,13
13,0.0772,0.942,0.0,0.058,14
14,0.8074,0.49,0.0,0.51,15
15,0.6249,0.76,0.0,0.24,16
16,0.6588,0.761,0.0,0.239,17
17,0.4404,0.775,0.0,0.225,18
18,0.7391,0.642,0.0,0.358,19
19,0.0,1.0,0.0,0.0,20
20,0.0,1.0,0.0,0.0,21
21,0.6249,0.709,0.0,0.291,22
22,0.0,1.0,0.0,0.0,23
23,-0.1779,0.669,0.197,0.134,24
24,0.5267,0.841,0.0,0.159,25
25,-0.765,0.645,0.355,0.0,26
26,0.5574,0.753,0.0,0.247,27
27,-0.2023,0.859,0.141,0.0,28
28,-0.5994,0.671,0.329,0.0,29
29,0.0,1.0,0.0,0.0,30
30,-0.5106,0.751,0.249,0.0,31
31,0.0,1.0,0.0,0.0,32
32,0.0,1.0,0.0,0.0,33
33,0.0,1.0,0.0,0.0,34
34,-0.34,0.769,0.231,0.0,35
35,0.0,1.0,0.0,0.0,36
36,0.0,1.0,0.0,0.0,37
37,-0.6808,0.789,0.211,0.0,38
38,0.0,1.0,0.0,0.0,39
39,0.0,1.0,0.0,0.0,40
40,0.4939,0.849,0.0,0.151,41
41,0.4588,0.612,0.122,0.266,42
42,0.4404,0.847,0.0,0.153,43
43,0.0,1.0,0.0,0.0,44
44,-0.6124,0.75,0.25,0.0,45
45,0.5719,0.783,0.0,0.217,46
46,-0.4404,0.818,0.182,0.0,47
47,0.0,1.0,0.0,0.0,48
48,0.5267,0.833,0.0,0.167,49
49,0.0,1.0,0.0,0.0,50
50,-0.0516,0.909,0.091,0.0,51
51,-0.6124,0.684,0.316,0.0,52
52,-0.743,0.636,0.364,0.0,53
53,0.2732,0.861,0.0,0.139,54
54,0.0,1.0,0.0,0.0,55
55,0.0,1.0,0.0,0.0,56
56,0.0,1.0,0.0,0.0,57
57,-0.8545,0.599,0.401,0.0,58
58,0.1725,0.711,0.124,0.165,59
59,0.0,1.0,0.0,0.0,60
60,0.0,1.0,0.0,0.0,61
61,0.0,1.0,0.0,0.0,62
62,0.4927,0.856,0.0,0.144,63
63,0.1531,0.78,0.096,0.124,64
64,0.0,1.0,0.0,0.0,65
65,0.0772,0.933,0.0,0.067,66
66,0.3182,0.887,0.0,0.113,67
67,-0.7506,0.654,0.346,0.0,68
68,-0.296,0.885,0.115,0.0,69
69,-0.5688,0.83,0.17,0.0,70
70,0.0,1.0,0.0,0.0,71
71,-0.4215,0.648,0.352,0.0,72
72,-0.296,0.611,0.228,0.161,73
73,0.0,1.0,0.0,0.0,74
74,0.0,1.0,0.0,0.0,75
75,0.0,1.0,0.0,0.0,76
76,0.0,1.0,0.0,0.0,77
77,0.0,1.0,0.0,0.0,78
78,0.0,1.0,0.0,0.0,79
79,0.0,1.0,0.0,0.0,80
80,-0.7783,0.618,0.382,0.0,81
81,0.6486,0.725,0.0,0.275,82
82,-0.128,0.889,0.111,0.0,83
83,0.0,1.0,0.0,0.0,84
84,0.0,1.0,0.0,0.0,85
85,0.3818,0.852,0.0,0.148,86
86,0.0,1.0,0.0,0.0,87
87,-0.5719,0.657,0.343,0.0,88
88,0.0,1.0,0.0,0.0,89
89,0.0,1.0,0.0,0.0,90
90,-0.4767,0.819,0.181,0.0,91
91,-0.4767,0.69,0.228,0.083,92
92,0.0,1.0,0.0,0.0,93
93,0.0,1.0,0.0,0.0,94
94,-0.5994,0.698,0.219,0.084,95
95,-0.1027,0.887,0.113,0.0,96
96,-0.3818,0.833,0.167,0.0,97
97,0.0,1.0,0.0,0.0,98
98,0.743,0.656,0.0,0.344,99
99,0.0,1.0,0.0,0.0,100
